signal_col,horizon,threshold,buy_count,buy_win,buy_winrate,buy_mean_ret,buy_median_ret,sell_count,sell_win,sell_winrate,sell_mean_ret,sell_median_ret
res_signal,1 days 00:00:00,0.01,753,279,0.3705179282868526,6.408128982370992e-05,0.001859938394762839,407,108,0.26535626535626533,0.0011802468351103537,-0.0012314786109768328
res_signal,1 days 00:00:00,0.03,753,105,0.1394422310756972,6.408128982370992e-05,0.001859938394762839,407,27,0.06633906633906633,0.0011802468351103537,-0.0012314786109768328
res_signal,1 days 00:00:00,0.05,753,21,0.027888446215139442,6.408128982370992e-05,0.001859938394762839,407,3,0.007371007371007371,0.0011802468351103537,-0.0012314786109768328
res_signal,3 days 00:00:00,0.01,733,269,0.3669849931787176,0.004188186513655646,-0.0024358309895059493,407,193,0.4742014742014742,-0.005080352184850086,-0.005443263595099834
res_signal,3 days 00:00:00,0.03,733,176,0.24010914051841747,0.004188186513655646,-0.0024358309895059493,407,91,0.22358722358722358,-0.005080352184850086,-0.005443263595099834
res_signal,3 days 00:00:00,0.05,733,108,0.14733969986357434,0.004188186513655646,-0.0024358309895059493,407,61,0.14987714987714987,-0.005080352184850086,-0.005443263595099834
res_signal,7 days 00:00:00,0.01,707,352,0.49787835926449786,0.00850679420321388,0.009561370395507307,407,225,0.5528255528255528,-0.011481608143938466,-0.02132383426408524
res_signal,7 days 00:00:00,0.03,707,278,0.3932107496463932,0.00850679420321388,0.009561370395507307,407,179,0.4398034398034398,-0.011481608143938466,-0.02132383426408524
res_signal,7 days 00:00:00,0.05,707,162,0.22913719943422914,0.00850679420321388,0.009561370395507307,407,130,0.3194103194103194,-0.011481608143938466,-0.02132383426408524
trad_signal,1 days 00:00:00,0.01,10,4,0.4,-0.0006888709586961195,0.00545563065394894,11,2,0.18181818181818182,0.009217459368434574,0.00544878795234971
trad_signal,1 days 00:00:00,0.03,10,0,0.0,-0.0006888709586961195,0.00545563065394894,11,1,0.09090909090909091,0.009217459368434574,0.00544878795234971
trad_signal,1 days 00:00:00,0.05,10,0,0.0,-0.0006888709586961195,0.00545563065394894,11,0,0.0,0.009217459368434574,0.00544878795234971
trad_signal,3 days 00:00:00,0.01,10,2,0.2,-0.0013622946099532518,-0.008478447619846619,11,3,0.2727272727272727,0.008346791791206908,-0.0012102526755058962
trad_signal,3 days 00:00:00,0.03,10,1,0.1,-0.0013622946099532518,-0.008478447619846619,11,1,0.09090909090909091,0.008346791791206908,-0.0012102526755058962
trad_signal,3 days 00:00:00,0.05,10,0,0.0,-0.0013622946099532518,-0.008478447619846619,11,0,0.0,0.008346791791206908,-0.0012102526755058962
trad_signal,7 days 00:00:00,0.01,10,3,0.3,-0.0016987140301148896,-0.022135427212481573,11,5,0.45454545454545453,-0.003093097231596645,-0.00786554765593761
trad_signal,7 days 00:00:00,0.03,10,3,0.3,-0.0016987140301148896,-0.022135427212481573,11,3,0.2727272727272727,-0.003093097231596645,-0.00786554765593761
trad_signal,7 days 00:00:00,0.05,10,3,0.3,-0.0016987140301148896,-0.022135427212481573,11,2,0.18181818181818182,-0.003093097231596645,-0.00786554765593761
