chain,result,count
motif:pawn_chain,draw,14
motif:open_file|pawn_chain,draw,13
motif:open_file|open_file|pawn_chain,draw,17
motif:open_file|open_file|open_file|open_file|open_file|open_file,draw,8
motif:open_file|open_file|open_file|open_file|open_file|open_file|open_file,draw,1
motif:open_file|pawn_chain,success,15
motif:backward_pawn|battery|pawn_chain,draw,11
motif:backward_pawn|battery|double_attack|isolated_pawn|pawn_chain,draw,5
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,draw,5
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,draw,282
motif:backward_pawn|isolated_pawn|open_file,draw,2975
motif:backward_pawn|isolated_pawn|king_attack|open_file,draw,248
motif:backward_pawn|double_attack|isolated_pawn|king_attack|open_file,draw,2
motif:backward_pawn|double_attack|isolated_pawn|open_file,draw,1063
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,9
motif:king_attack|open_file,draw,531
motif:king_attack|open_file|rook_on_seventh,draw,18
motif:backward_pawn|battery|isolated_pawn,success,9
motif:backward_pawn|isolated_pawn|open_file,success,6
motif:backward_pawn|battery|isolated_pawn|open_file,success,154
motif:backward_pawn|battery|isolated_pawn,1-0,10
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,615
motif:backward_pawn|battery|isolated_pawn,draw,312
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file,draw,59
motif:backward_pawn|battery|isolated_pawn|open_file,draw,3471
motif:backward_pawn|battery|double_attack|isolated_pawn,draw,14
motif:backward_pawn|double_attack|isolated_pawn,draw,17
motif:battery|king_attack|open_file,draw,845
motif:backward_pawn|battery|pawn_chain,failure,9
motif:backward_pawn|battery,draw,1261
motif:backward_pawn|battery|double_attack|fork|isolated_pawn,draw,21
motif:backward_pawn|isolated_pawn|king_attack|open_file|pawn_chain,draw,10
motif:backward_pawn|battery,success,72
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,success,956
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,success,19
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,success,16
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|open_file,draw,7
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,draw,38
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|pawn_break|pawn_chain,draw,505
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|pawn_break|pawn_chain,draw,9000
motif:backward_pawn|battery|double_attack|fork|pawn_break|pawn_chain,draw,48
motif:backward_pawn|double_attack|isolated_pawn|open_file,success,13
motif:backward_pawn|battery|double_attack|isolated_pawn|king_attack|open_file,draw,38
motif:backward_pawn|battery|double_attack,draw,119
motif:backward_pawn|battery|isolated_pawn|king_attack|open_file,success,3
motif:battery|king_attack|open_file,success,13
motif:backward_pawn|double_attack|fork|isolated_pawn|open_file,draw,2
motif:backward_pawn|battery|double_attack|fork,draw,45
motif:backward_pawn|double_attack,draw,1
motif:backward_pawn|double_attack|doubled_pawn|fork|pawn_break|pawn_chain,draw,15
motif:backward_pawn|battery|double_attack|isolated_pawn|open_file|pawn_break,draw,2
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,26
motif:backward_pawn|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break,draw,5
motif:backward_pawn|battery|double_attack|pawn_break,draw,4
motif:backward_pawn|battery|isolated_pawn|pawn_break,draw,2
motif:backward_pawn|battery|pawn_break,draw,6
motif:backward_pawn|battery|double_attack|pawn_chain,draw,4
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|open_file|pawn_break,draw,2
motif:backward_pawn|battery|double_attack,success,3
motif:backward_pawn|battery|doubled_pawn|isolated_pawn,success,57
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn,success,12
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack,success,3
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|rook_on_seventh,success,39
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file,success,12
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file,success,15
motif:backward_pawn|battery|doubled_pawn,draw,11
motif:backward_pawn|battery|doubled_pawn|king_attack,draw,2
motif:backward_pawn|double_attack|doubled_pawn,draw,2
motif:backward_pawn|doubled_pawn|pawn_break,draw,2
motif:backward_pawn|double_attack|doubled_pawn|fork|pawn_break|pin,draw,5
motif:backward_pawn|doubled_pawn|pawn_break|pin,draw,2
motif:backward_pawn|doubled_pawn|pawn_break|pawn_chain|pin,draw,11
motif:backward_pawn|double_attack|doubled_pawn|fork|pawn_break|pawn_chain|pin,draw,8
motif:backward_pawn|battery|doubled_pawn|pawn_break|pawn_chain|pin,draw,2
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|pawn_break|pawn_chain|pin,draw,2
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,5
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,5
motif:backward_pawn|battery|double_attack|doubled_pawn|fork|isolated_pawn|king_attack|open_file|pawn_break|pawn_chain,draw,2
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,17
motif:backward_pawn|battery|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break,draw,5
motif:backward_pawn|battery|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pin,draw,2
motif:backward_pawn|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pin,draw,2
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file|pawn_break|pin,draw,8
motif:backward_pawn|double_attack|doubled_pawn|isolated_pawn|king_attack|open_file,draw,8
