H0_kmsMpc,adot0,d_eta_mean,d_eta_std
60.00,0.267062,0.117900,0.118961
61.00,0.271513,0.120003,0.120861
62.00,0.275964,0.122085,0.122647
63.00,0.280415,0.124203,0.124455
64.00,0.284866,0.126295,0.126267
65.00,0.289318,0.128439,0.128140
66.00,0.293769,0.130609,0.130086
67.00,0.298220,0.132694,0.132002
68.00,0.302671,0.134847,0.133774
69.00,0.307122,0.136974,0.135570
70.00,0.311573,0.139046,0.137348
71.00,0.316024,0.141108,0.139135
72.00,0.320475,0.143138,0.140950
73.00,0.324926,0.145149,0.142788
74.00,0.329377,0.147131,0.144643
75.00,0.333828,0.149083,0.146516
76.00,0.338279,0.151015,0.148339
77.00,0.342730,0.152910,0.150146
78.00,0.347181,0.154778,0.151977
79.00,0.351632,0.156638,0.153788
80.00,0.356083,0.158446,0.155584
